lat;lon;crs;tas_anom
-88.5;1.5;b'';2.065129
-88.5;2.5;b'';2.0678995
-88.5;3.5;b'';2.0671048
-88.5;4.5;b'';2.0656352
-88.5;5.5;b'';2.0652065
-88.5;6.5;b'';2.0649383
-88.5;7.5;b'';2.0681152
-88.5;8.5;b'';2.0729694
-88.5;9.5;b'';2.0700927
-88.5;10.5;b'';2.0691862
-88.5;11.5;b'';2.0697613
-88.5;12.5;b'';2.0689213
-88.5;13.5;b'';2.0682683
-88.5;14.5;b'';2.0682836
-88.5;15.5;b'';2.0681028
-88.5;16.5;b'';2.0705469
-88.5;17.5;b'';2.078207
-88.5;18.5;b'';2.071287
-88.5;19.5;b'';2.068464
-88.5;20.5;b'';2.068652
-88.5;21.5;b'';2.0689526
-88.5;22.5;b'';2.0663
-88.5;23.5;b'';2.064546
-88.5;24.5;b'';2.0655842
-88.5;25.5;b'';2.0644486
-88.5;26.5;b'';2.064154
-88.5;27.5;b'';2.0704782
-88.5;28.5;b'';2.072647
-88.5;29.5;b'';2.0676749
-88.5;30.5;b'';2.0672867
-88.5;31.5;b'';2.073088
-88.5;32.5;b'';2.0726225
-88.5;33.5;b'';2.0699804
-88.5;34.5;b'';2.0705593
-88.5;35.5;b'';2.0720515
-88.5;36.5;b'';2.0729866
-88.5;37.5;b'';2.0751417
-88.5;38.5;b'';2.0767822
-88.5;39.5;b'';2.0768256
-88.5;40.5;b'';2.0769985
-88.5;41.5;b'';2.0781784
-88.5;42.5;b'';2.0768313
-88.5;43.5;b'';2.0798178
-88.5;44.5;b'';2.0800211
-88.5;45.5;b'';2.0813293
-88.5;46.5;b'';2.0867088
-88.5;47.5;b'';2.0871549
-88.5;48.5;b'';2.0855021
-88.5;49.5;b'';2.0844762
-88.5;50.5;b'';2.0878413
-88.5;51.5;b'';2.0932376
-88.5;52.5;b'';2.0874236
-88.5;53.5;b'';2.0929098
-88.5;54.5;b'';2.0953236
-88.5;55.5;b'';2.0967035
-88.5;56.5;b'';2.0966802
-88.5;57.5;b'';2.0998597
-88.5;58.5;b'';2.0981388
-88.5;59.5;b'';2.0976446
-88.5;60.5;b'';2.0975912
-88.5;61.5;b'';2.0995128
-88.5;62.5;b'';2.1007147
-88.5;63.5;b'';2.0995255
-88.5;64.5;b'';2.1028972
-88.5;65.5;b'';2.1057408
-88.5;66.5;b'';2.107087
-88.5;67.5;b'';2.1092396
